name_muni;abbrev_state;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Santa Luzia do Paruá;MA;1933;1040;1026;2296;2067;4015;6169;7232;9602;12267;11182;27998;13151;15239;13764;13428;13738
Santa Quitéria do Maranhão;MA;617;617;675;1027;1517;1864;2149;3591;3160;4112;4765;3967;5182;6820;8170;8095;9182
Santa Rita;MA;1362;2062;1239;2395;5379;6104;6315;6803;7405;9515;11551;13815;14247;20494;20733;19966;25200
Santana do Maranhão;MA;217;157;194;261;449;491;674;845;436;799;734;796;912;1245;1459;1632;1546
Santo Amaro do Maranhão;MA;137;111;151;181;674;707;349;496;602;663;727;761;1045;1023;1851;1898;2347
Santo Antônio dos Lopes;MA;452;469;544;892;1385;1659;2066;2615;3271;8072;35819;109432;86352;68560;83507;117685;91775
São Benedito do Rio Preto;MA;348;279;365;500;641;824;968;1058;1177;1416;1692;1753;2192;2422;3393;3670;4400
São Bento;MA;1830;1947;1969;2863;3785;3957;4253;6676;5137;6586;8286;8838;11849;11408;43821;14106;15557
São Bernardo;MA;1563;1791;1893;2578;3679;3509;4589;5761;6966;7342;11474;13135;15286;16404;18565;20016;23184
São Domingos do Azeitão;MA;1245;1156;745;1915;1971;1419;4138;5154;5297;5382;10942;12457;9548;9564;8944;10619;15142
São Domingos do Maranhão;MA;2497;2632;1967;2674;2787;3229;3536;5029;6639;7767;8715;9845;11318;13407;14061;16050;18940
São Félix de Balsas;MA;181;101;118;123;267;240;250;348;353;491;551;515;656;789;1200;1354;1751
São Francisco do Brejão;MA;644;707;966;1256;1538;1182;1126;964;1114;1355;1486;2026;2284;4689;5001;4707;5584
São Francisco do Maranhão;MA;215;174;207;283;392;396;539;618;497;427;585;783;997;1180;1515;1780;1845
São João Batista;MA;502;458;533;721;792;767;758;938;918;1745;2398;2147;1899;2988;3942;4255;4272
São João do Carú;MA;394;234;337;508;488;665;829;900;920;998;1167;1075;1236;1678;2411;2410;2590
São João do Paraíso;MA;468;488;689;1107;1041;1156;1371;1672;1001;1412;1462;1997;2359;6390;13402;5067;5759
São João do Soter;MA;344;268;389;558;531;594;696;946;1024;1543;1641;1521;1781;1969;2621;2727;3503
São João dos Patos;MA;2893;3178;3491;4225;5531;5754;6806;7948;7416;9775;10325;12284;14671;15798;17420;18672;19614
São José de Ribamar;MA;23986;23988;22605;28482;36164;56629;61441;57629;67196;94214;114462;120090;137014;159878;183107;199542;227510
São José dos Basílios;MA;559;123;181;194;272;318;381;402;458;524;768;1091;1018;1321;1431;1655;1731
São Luís;MA;716723;762966;1194094;1638313;1882410;2109285;2583073;2425781;3435031;4050400;4671980;4542506;5173186;5162802;5140155;5875804;6415281
São Luís Gonzaga do Maranhão;MA;906;802;922;1188;1569;1517;1617;1582;1670;2185;2443;3336;3927;3719;4277;4416;4701
São Mateus do Maranhão;MA;2655;2267;1653;2239;2742;2753;3966;5920;5241;8212;9675;11741;13878;14328;15425;16593;16735
São Pedro da Água Branca;MA;626;652;863;1222;2369;2347;2855;2677;3041;4942;4870;10560;3085;8942;9748;10320;7752
São Pedro dos Crentes;MA;164;160;228;267;403;388;553;637;683;1009;1066;1024;1685;1637;2434;2171;2786
São Raimundo das Mangabeiras;MA;2101;2911;4005;8983;13488;14807;14096;12891;13087;14504;17334;17962;13683;15458;22092;21901;23476
São Raimundo do Doca Bezerra;MA;151;124;170;175;194;235;251;336;388;561;643;517;826;1035;1088;1015;1153
São Roberto;MA;96;90;107;159;149;195;271;313;387;593;1104;550;509;831;922;1037;1021
São Vicente Ferrer;MA;586;759;860;1125;1498;1111;1235;1885;1409;1678;1975;1967;2745;3349;4577;4693;5103
Satubinha;MA;180;182;211;217;263;383;661;625;553;640;941;716;958;1023;1810;1837;1957
Senador Alexandre Costa;MA;183;144;193;259;398;776;932;989;813;1096;1227;1595;1973;1609;2942;3103;4043
Senador La Rocque;MA;577;498;642;765;967;1109;1791;1478;1555;2006;2386;2469;2181;3676;5287;5915;6997
Serrano do Maranhão;MA;119;92;142;290;375;408;480;482;498;613;662;772;1016;1209;1560;1650;1794
Sítio Novo;MA;388;319;437;460;506;723;775;982;1262;2558;3003;2347;2504;3781;4753;5083;6189
Sucupira do Norte;MA;279;225;256;288;321;391;504;680;532;875;1289;1256;1408;1761;2378;2651;2822
Sucupira do Riachão;MA;208;145;146;190;241;253;329;400;488;570;697;590;724;990;1328;1451;1553
Tasso Fragoso;MA;2262;1850;3155;3139;3605;4402;6907;6573;12818;17237;27464;24522;24680;17160;16136;25294;17181
Timbiras;MA;631;577;610;742;982;1304;1578;1823;1338;2168;2745;2910;2990;4099;5171;5752;6761
Timon;MA;19405;24376;29000;36127;42205;48973;58145;69515;89885;103204;104546;110254;105919;114426;159200;195907;197153
Trizidela do Vale;MA;2779;3396;3114;2587;3180;3849;4243;4552;4763;5833;7136;6827;8057;9807;13667;15703;14595
Tufilândia;MA;146;126;167;155;224;280;437;498;496;594;681;502;1083;2625;3607;2651;1173
Tuntum;MA;1354;1350;1850;2316;2648;2637;3581;4873;3343;4702;6174;7056;8287;10204;13804;11774;13200
Turiaçu;MA;986;853;1189;946;1117;1760;1787;2219;2678;3308;3784;3482;4182;5234;7086;7246;6889
Turilândia;MA;306;272;390;469;498;775;938;1378;1341;1922;1797;1650;1938;2978;3861;3949;4789
Tutóia;MA;1513;1391;2180;2894;4336;4862;5554;6484;5121;7978;9466;10213;12711;16882;19648;22527;26058
Urbano Santos;MA;510;529;681;1010;1400;1743;2114;2689;2643;3488;3687;4070;5225;6227;7596;9078;8951
Vargem Grande;MA;1420;1683;1518;2269;2731;3838;4987;6577;7181;8341;9665;8504;9003;12055;13942;15047;16382
Viana;MA;3450;3618;2911;4004;5456;5977;7366;9525;9347;10917;12099;11595;14779;20599;21595;23705;27177
Vila Nova dos Martírios;MA;212;187;229;295;1383;1461;1526;1201;1267;1931;2200;2374;2740;3686;6244;6761;6146
Vitória do Mearim;MA;1636;1455;1651;2636;2995;3207;3570;4128;3531;6073;7500;6057;9235;12097;13719;15922;15991
Vitorino Freire;MA;2373;2338;3280;3916;4111;3730;3989;4620;3933;4716;5552;5556;5672;8628;10643;11625;14731
Zé Doca;MA;4013;5295;4021;5183;5505;7002;9082;10405;12703;16364;18289;21519;22818;22317;22701;25092;32324
Acauã;PI;118;150;211;217;492;423;680;803;1026;1084;1165;1345;1316;1749;2168;2002;2686
Agricolândia;PI;131;186;286;300;570;398;493;525;534;619;629;660;733;1148;1569;1495;1818
Água Branca;PI;1638;1417;2386;3396;4485;4339;5799;5616;6485;5427;8878;10521;9865;11747;12439;13802;16067
Alagoinha do Piauí;PI;213;209;432;405;449;648;988;1010;1112;1627;1162;1319;1322;1858;1994;2142;2346
Alegrete do Piauí;PI;266;277;391;410;568;791;1355;1200;1184;1245;1267;1389;1584;1920;2096;1920;2053
Alto Longá;PI;458;422;691;617;900;1262;1305;1868;2263;1914;2343;2363;2247;3197;3622;3968;4542
Altos;PI;3713;4644;4712;6998;8232;7731;9931;10417;10874;12179;16132;17310;21943;24522;27426;30509;38497
Alvorada do Gurguéia;PI;226;315;224;414;599;1070;1603;1913;1605;2359;3146;2539;3584;3971;3719;4753;5571
Amarante;PI;1000;1092;1344;1739;2547;2443;3193;3338;3875;4224;5066;5358;5768;7061;7804;8625;10244
Angical do Piauí;PI;391;496;494;682;1004;945;1147;1351;1473;1524;1776;2371;2718;2894;2602;3007;5362
Anísio de Abreu;PI;360;373;547;677;667;1046;1191;1492;1704;2133;2570;2862;3050;3755;4281;3376;4526
Antônio Almeida;PI;420;389;704;512;539;966;1594;1264;2321;2425;4955;3446;2883;2354;3002;3916;5800
Aroazes;PI;220;267;627;420;597;758;857;1195;1424;1432;1469;1482;1556;1936;2257;2319;2874
Aroeiras do Itaim;PI;...;...;...;127;142;168;300;317;331;300;306;344;285;394;475;482;729
Arraial;PI;139;166;249;286;376;351;774;806;908;944;996;1018;1170;1353;1435;1578;1807
Assunção do Piauí;PI;151;98;250;294;581;444;633;523;686;732;843;1001;851;1157;1329;1292;1733
Avelino Lopes;PI;197;164;319;648;1173;774;1806;1269;1635;1550;1567;1681;1704;2228;3015;2999;3447
Baixa Grande do Ribeiro;PI;469;945;700;565;1419;3903;9229;11572;14466;17799;25196;29322;36967;40270;31028;52383;67109
Barra D'Alcântara;PI;151;160;187;217;405;374;561;526;652;706;856;1041;1085;1313;1514;1597;1784
Barras;PI;3580;2520;4177;5510;5562;5966;6747;8385;10475;11597;12851;14616;14051;18736;21775;21831;25113
Barreiras do Piauí;PI;99;111;152;155;217;265;310;377;383;400;518;571;572;713;830;691;799
Barro Duro;PI;301;315;524;583;811;852;2428;1198;1711;1635;2114;2198;2485;2946;3300;3529;4179
Batalha;PI;788;823;1257;1450;1988;2207;3029;3376;4382;4245;5065;5520;5502;7039;8013;8138;9730
Bela Vista do Piauí;PI;110;115;143;131;203;342;552;530;713;810;868;980;1430;1535;1421;1526;1870
Belém do Piauí;PI;69;82;107;157;215;441;438;370;388;418;520;758;819;1052;1009;1077;1304
Beneditinos;PI;298;458;502;528;772;751;1031;1137;1504;1631;1948;2045;2132;2517;2917;3330;3823
Bertolínia;PI;271;343;480;494;679;1017;2293;2951;3396;3745;4483;3948;3156;5426;5108;6868;8194
Betânia do Piauí;PI;156;203;281;358;418;473;770;731;1007;1343;1450;1377;1230;1747;2054;2141;3525
Boa Hora;PI;156;147;212;237;300;595;502;547;697;689;743;1158;1315;1247;1689;1547;2285
Bocaina;PI;135;126;220;241;412;492;647;619;762;823;928;968;1123;1551;1819;3009;2323
Bom Jesus;PI;3975;5265;8923;10549;11587;12053;17537;20837;21583;28529;42569;39012;60548;76599;64570;120413;114659
Bom Princípio do Piauí;PI;170;174;222;282;388;443;627;687;945;1128;1196;924;1895;1526;1864;1833;5439
Bonfim do Piauí;PI;162;182;236;273;452;384;601;640;739;789;1115;1068;1114;1390;1679;1669;2092
Boqueirão do Piauí;PI;122;120;144;175;255;425;575;668;712;708;842;1039;926;1315;1520;1504;1739
Brasileira;PI;156;252;265;491;696;761;762;714;1044;1280;1404;1289;1384;1602;1818;2126;2091
Brejo do Piauí;PI;90;96;145;234;456;415;598;600;701;576;882;933;810;1212;1338;1321;1545
Buriti dos Lopes;PI;772;1020;1540;1642;2233;2754;4232;3967;5152;4867;5363;5637;5778;7798;9885;9090;11920
Buriti dos Montes;PI;177;173;205;277;374;486;693;713;1013;911;1049;1056;1032;1275;1437;1603;2055
Cabeceiras do Piauí;PI;236;205;379;367;707;737;891;1111;1205;1211;1318;1311;1470;1917;2324;2142;3103
Cajazeiras do Piauí;PI;97;112;142;154;242;223;353;418;538;555;558;581;685;767;864;951;1481
Cajueiro da Praia;PI;227;294;381;366;545;819;1156;1232;1913;1791;2395;3603;3235;3750;4989;4193;4516
Caldeirão Grande do Piauí;PI;115;81;136;151;209;318;516;716;820;732;837;934;1678;8768;8029;5878;11974
Campinas do Piauí;PI;146;163;236;260;486;750;839;999;1005;1123;1174;1372;1317;1600;1993;1962;2145
Campo Alegre do Fidalgo;PI;124;125;210;186;407;450;812;726;764;740;835;813;800;1089;1033;1163;1276
Campo Grande do Piauí;PI;376;434;196;549;704;703;887;872;1100;1356;1447;1994;2332;2870;3438;3430;3897
Campo Largo do Piauí;PI;120;113;142;165;190;340;653;466;685;581;701;795;769;961;1150;1086;1464
Campo Maior;PI;7515;8020;11584;14863;19229;18523;18202;24272;28859;27786;35407;37359;42073;49779;55779;58372;64307
Canavieira;PI;121;126;188;184;259;327;502;689;722;845;850;983;920;979;1060;1040;1072
Canto do Buriti;PI;1959;1884;3125;4752;6600;5119;6268;6938;8996;8643;10038;10184;10434;11835;14501;14518;17750
Capitão de Campos;PI;325;309;617;576;641;804;1083;1398;1673;1689;2021;2318;2682;3320;3921;4557;5509
Capitão Gervásio Oliveira;PI;85;98;297;290;1431;871;989;1202;1477;1601;1643;799;730;803;1124;1557;2332
Caracol;PI;1003;1290;1000;646;641;895;1079;1518;1737;1996;2138;2461;2409;3442;3563;2799;3871
Caraúbas do Piauí;PI;198;189;231;248;414;576;762;741;940;915;1111;1220;1074;1414;1983;1818;2214
Caridade do Piauí;PI;118;123;158;163;299;300;887;563;683;781;1133;790;890;1016;1417;1404;1752
Castelo do Piauí;PI;1727;1721;2410;2807;3205;3614;5106;4790;5424;5513;6481;7197;3823;8376;8971;9497;12137
Caxingó;PI;128;164;232;263;416;547;742;835;957;949;1347;1269;1151;1687;2076;1818;1943
Cocal;PI;1105;1317;1865;2309;2851;2820;4603;3964;5004;4681;5461;7666;8807;10552;10841;11961;12560
Cocal de Telha;PI;109;136;312;521;516;370;495;624;779;762;889;1190;1125;1402;1595;1514;1805
Cocal dos Alves;PI;103;112;151;222;286;348;562;572;807;824;964;1049;1054;1631;1694;1902;2297
Coivaras;PI;76;94;125;148;229;249;324;398;490;509;613;765;764;888;1032;941;1189
Colônia do Gurguéia;PI;336;389;521;658;1196;990;1449;1355;1911;1836;2031;2028;2323;2904;3834;3701;4944
Colônia do Piauí;PI;213;248;458;538;766;788;1040;1024;1352;1337;1640;1778;1641;2298;2520;2520;3103
Conceição do Canindé;PI;214;205;257;260;358;433;586;593;873;900;1246;1375;1305;1608;2575;2136;2705
Coronel José Dias;PI;115;132;193;204;373;485;535;668;796;713;701;883;845;1047;1227;1272;1714
Corrente;PI;2352;2483;4069;5357;7881;8243;7927;9225;12315;12673;15421;16368;18884;20280;22928;32305;46247
Cristalândia do Piauí;PI;159;197;323;357;594;619;841;1084;1252;1114;1237;1488;1174;1511;2150;1967;2041
Cristino Castro;PI;822;873;1167;1547;1593;1764;2044;2317;2855;2991;3438;4141;4922;5656;5461;7107;8377
Curimatá;PI;562;699;898;854;1089;1602;1379;1929;2486;2768;3336;3205;3226;3559;3881;3853;5575
Currais;PI;68;123;194;277;1206;892;3209;2637;2771;4053;5102;4879;8971;9013;5681;10292;15709
Curralinhos;PI;143;157;173;190;367;323;358;394;425;429;453;542;543;803;757;692;1091
Curral Novo do Piauí;PI;87;89;120;119;193;245;417;504;660;866;928;1414;701;2417;2918;71341;16238
Demerval Lobão;PI;802;968;1186;1429;1305;1213;1583;1442;1882;2649;5378;8919;12802;15432;16295;15383;19613
Dirceu Arcoverde;PI;223;207;190;365;529;503;646;791;1000;879;1273;1127;995;1327;1455;1487;2129
Dom Expedito Lopes;PI;913;891;1290;1482;2149;2157;1647;3204;3327;3665;3767;3831;4133;6543;6995;6800;8094
Domingos Mourão;PI;127;124;158;182;288;434;438;444;567;668;693;542;605;841;1258;1070;1423
Dom Inocêncio;PI;201;191;237;277;467;429;523;723;971;963;950;1079;1228;1518;1584;2249;2660
Elesbão Veloso;PI;1089;778;1533;1837;1901;2566;4566;3550;4320;3954;4884;5230;5992;7761;8527;8609;10720
Eliseu Martins;PI;256;275;420;501;693;724;1221;1093;1280;1294;1435;1779;2333;2889;2895;2996;3485
Esperantina;PI;4332;4967;6852;9259;10791;9323;11788;11935;13320;12892;15827;16896;18119;21511;23216;23879;30029
Fartura do Piauí;PI;90;97;134;153;236;282;410;433;532;547;497;696;599;691;751;695;976
Flores do Piauí;PI;137;159;212;245;280;358;565;643;749;717;809;796;1102;1962;1238;1384;1626
Floresta do Piauí;PI;88;89;110;123;219;231;332;347;375;411;432;584;505;552;785;797;946
Floriano;PI;21469;19255;29807;33864;41848;45752;49874;53669;68715;82024;92409;102250;112419;119738;129763;133246;146940
Francinópolis;PI;206;178;317;292;421;480;624;721;917;1118;1101;1015;1102;1344;1518;1628;1970
Francisco Ayres;PI;131;158;235;268;265;377;485;656;657;648;717;793;901;1322;1220;1488;1605
Francisco Macedo;PI;53;62;93;129;196;428;429;343;419;435;430;424;542;666;973;958;1100
Francisco Santos;PI;274;555;815;847;957;1335;1286;1657;1900;2012;2075;2252;2767;3267;3743;3815;4557
Fronteiras;PI;12630;10050;10289;11001;16422;19026;21353;24074;32399;24553;29087;34571;27239;22795;16077;6465;6015
Geminiano;PI;177;200;227;204;327;800;1451;1276;1849;1262;2936;4200;2805;3689;4483;2743;2950
Gilbués;PI;606;609;759;715;1048;1835;3962;4484;5529;6697;10585;7412;11363;12734;11280;11762;14690
Guadalupe;PI;857;836;1235;1547;2136;1846;3045;4937;5393;7201;7799;11093;11825;12898;17785;16398;18906
Guaribas;PI;82;61;87;138;225;252;308;361;378;551;373;491;649;947;1082;824;1112
Hugo Napoleão;PI;108;145;232;238;326;304;439;531;629;681;701;705;746;903;1088;1158;1331
Ilha Grande;PI;229;233;318;282;496;782;1401;1440;1951;1694;2240;2895;2980;3554;4213;3847;4066
Inhuma;PI;799;827;1400;1489;1998;2501;2743;3323;3042;3628;4164;4953;5314;6098;7337;7837;9415
Ipiranga do Piauí;PI;474;535;710;967;1239;1307;1741;1932;2308;2346;2782;3005;3284;3809;4296;4166;4321
Isaías Coelho;PI;196;268;307;296;384;651;957;1013;1192;1290;1786;1612;1562;1858;2317;2289;3353
Itainópolis;PI;630;530;465;623;714;1003;1352;1810;2347;2334;2259;2699;2371;2969;4006;4163;4679
Itaueira;PI;690;418;989;1167;1887;1978;2653;3000;4000;3619;4850;4257;5917;8698;6563;7080;6985
Jacobina do Piauí;PI;258;255;275;296;469;587;996;1284;1323;1390;1451;1902;1967;2240;2269;2248;2924
Jaicós;PI;960;1356;1724;2198;2176;2564;3103;3966;4675;4675;4967;5992;6183;8131;9830;9718;11304
Jardim do Mulato;PI;136;141;185;166;282;369;469;508;540;598;618;612;589;828;890;960;1081
Jatobá do Piauí;PI;125;150;219;219;248;421;594;764;1005;885;1010;1134;1134;1273;1470;1461;1770
Jerumenha;PI;244;338;485;597;692;699;1008;1090;1458;1182;1565;1647;1613;2328;2401;2036;2201
João Costa;PI;97;100;135;138;196;233;323;399;545;555;494;522;585;713;1033;1349;1713
Joaquim Pires;PI;244;372;494;647;796;893;2190;1522;1850;1766;2021;2322;2245;3079;3537;4097;4504
Joca Marques;PI;105;117;159;152;280;357;438;494;731;758;811;857;888;1144;1346;1283;1744
José de Freitas;PI;3839;4492;5361;6703;7986;9373;10577;11100;13987;12303;17292;18221;14931;18060;19193;18101;22640
Juazeiro do Piauí;PI;168;135;231;307;396;448;913;745;1094;914;1014;1136;1429;1767;1897;2023;2095
Júlio Borges;PI;121;220;223;183;361;432;874;602;740;757;794;805;753;965;1159;1725;1698
Jurema;PI;125;141;192;246;259;438;579;702;853;839;859;806;793;1023;1281;1081;1515
Lagoinha do Piauí;PI;112;190;187;128;351;330;408;426;353;363;352;308;327;476;553;622;769
Lagoa Alegre;PI;234;261;425;440;500;710;850;892;1075;1026;1337;1363;1563;2015;2410;2682;3004
Lagoa do Barro do Piauí;PI;113;111;148;190;222;538;581;532;666;677;785;978;888;1149;1210;2776;46976
Lagoa de São Francisco;PI;122;129;174;209;299;369;445;504;695;652;922;880;905;1106;1254;1291;1452
Lagoa do Piauí;PI;426;457;673;242;679;707;665;919;1611;1632;1565;1437;1268;2015;2343;3283;3456
Lagoa do Sítio;PI;121;127;162;165;267;407;811;668;753;933;766;864;866;1205;1666;1931;1808
Landri Sales;PI;256;266;405;352;562;454;1349;1547;2080;2115;2685;2851;3248;3284;3957;3438;4775
Luís Correia;PI;1780;2529;3686;3321;3394;4682;5730;5643;7452;7742;10103;12017;12036;16447;17742;19756;24433
Luzilândia;PI;1660;1350;1896;2356;3015;3218;4199;4641;5861;5688;6575;7224;7991;9626;10629;10867;12522
Madeiro;PI;165;170;216;243;390;531;774;799;969;968;983;1049;1130;1438;1833;1679;1951
Manoel Emídio;PI;196;232;327;396;724;657;1148;1459;1348;1632;1388;1543;1544;1824;2361;1985;2300
Marcolândia;PI;218;208;330;379;535;675;672;1203;1657;1921;1974;2125;3471;6304;4458;4573;5702
Marcos Parente;PI;173;184;279;242;435;369;734;722;956;969;1100;1509;1587;2192;2405;2791;2895
Massapê do Piauí;PI;127;121;161;154;273;299;479;463;523;525;524;675;777;1025;1214;1272;1402
Matias Olímpio;PI;354;325;456;578;798;954;976;1176;1498;1469;1790;2213;2768;3381;3575;3562;4046
Miguel Alves;PI;1138;1195;1536;1716;2243;3489;3941;4087;4922;5599;6886;6503;6082;8626;9463;10734;11390
Miguel Leão;PI;111;90;106;120;147;160;202;236;292;270;282;329;465;378;339;550;795
Milton Brandão;PI;113;123;166;203;306;400;560;599;768;869;953;978;928;1188;1517;1573;1922
Monsenhor Gil;PI;635;632;1276;1403;3002;3586;3811;3965;5493;5296;5236;5229;5345;7177;7718;7162;7299
Monsenhor Hipólito;PI;233;241;365;390;554;629;982;1031;1309;1498;1478;1635;1614;2231;2803;2710;3390
Monte Alegre do Piauí;PI;402;521;604;523;700;1535;2667;3062;3816;4192;5815;4804;5948;10139;8011;9674;11948
Morro Cabeça no Tempo;PI;101;87;104;130;240;303;381;482;721;933;1278;702;591;736;783;733;867
Morro do Chapéu do Piauí;PI;165;156;255;262;382;435;576;650;722;841;888;978;993;1348;1607;1628;1777
Murici dos Portelas;PI;145;166;186;253;359;448;724;644;890;864;1163;1328;1252;1372;2358;2039;2405
Nazaré do Piauí;PI;247;388;434;443;681;621;580;938;1156;1082;1246;1309;1422;1843;2201;2189;2956
Nazária;PI;...;...;...;...;...;...;...;806;1648;1733;1872;2287;3666;5221;5901;5911;7399
Nossa Senhora de Nazaré;PI;101;114;153;166;312;341;354;434;504;496;424;548;542;816;959;953;1139
Nossa Senhora dos Remédios;PI;212;260;354;343;594;516;749;769;967;1063;1135;1038;1017;1316;1593;1960;2405
Novo Oriente do Piauí;PI;212;224;314;281;424;520;673;753;952;1078;1205;1129;1224;1664;2121;1932;2464
Novo Santo Antônio;PI;79;80;99;102;137;226;319;343;637;526;553;542;708;751;931;849;1032
Oeiras;PI;4893;4927;6224;9491;12367;11614;11750;14150;18881;23183;22022;24007;26634;30932;35432;39256;47168
Olho D'Água do Piauí;PI;81;81;97;97;148;166;352;332;372;372;385;508;825;569;652;715;816
Padre Marcos;PI;314;336;581;1107;811;1163;1504;1313;1723;1921;2236;2426;2777;3317;3559;3605;4219
Paes Landim;PI;173;183;234;250;381;462;705;711;929;893;1062;1221;1455;1740;1747;1883;2195
Pajeú do Piauí;PI;95;102;132;175;258;346;536;551;658;532;872;828;794;954;1282;1312;1585
Palmeira do Piauí;PI;187;186;264;190;295;609;1827;2337;2213;2898;3462;2329;3648;3736;3594;4183;3925
Palmeirais;PI;445;555;840;863;1053;1260;1509;1816;1966;2300;2367;2544;2761;3418;4036;4387;5409
Paquetá;PI;105;119;149;141;226;284;388;398;477;536;538;577;515;691;840;1098;1235
Parnaguá;PI;326;264;433;477;635;927;1162;1387;2025;2072;1878;2388;2287;2767;3627;4224;5389
Parnaíba;PI;33448;38461;47392;56251;73155;69473;74822;83587;103078;109365;135419;149718;166565;208956;211941;235426;288704
Passagem Franca do Piauí;PI;180;173;254;245;245;432;648;611;1290;1449;1476;1252;1335;1356;1688;1761;1780
Patos do Piauí;PI;369;474;742;615;1502;812;1054;1263;1283;1185;1277;1595;1389;1966;2131;2268;2451
Pau D'Arco do Piauí;PI;99;114;137;174;350;341;733;602;506;491;507;514;591;834;843;861;1025
Paulistana;PI;1717;1858;2761;3113;4202;3920;5666;5275;8565;7971;9007;9729;9701;15466;14120;14473;16958
Pavussu;PI;143;151;231;212;359;347;416;510;575;979;987;790;1141;1812;975;1206;1414
Pedro II;PI;1751;2049;2745;3097;4774;4582;5522;7028;9296;8846;11866;12166;13045;15538;16207;17146;21716
Pedro Laurentino;PI;102;91;95;119;213;246;348;412;562;524;576;591;629;662;799;771;989
Nova Santa Rita;PI;87;122;136;163;325;316;456;620;691;748;779;783;1051;1221;1211;1185;1617
Picos;PI;25740;23834;41412;49944;63791;62073;64555;74501;86307;94301;109616;123987;137106;143009;161463;172340;195521
Pimenteiras;PI;329;418;591;552;849;1120;1769;1455;1856;1910;2048;2301;2295;2732;3344;3283;3921
Pio IX;PI;855;1066;1445;1717;2284;2724;3973;4000;5079;4620;5265;5920;5757;7492;8084;8312;10356
Piracuruca;PI;2013;2228;3517;3912;5176;6130;6083;7002;9182;9273;11870;14127;15482;17327;17497;19414;21616
Piripiri;PI;7679;7940;11350;13735;17603;17651;21010;23457;30979;30692;38904;40836;43749;53446;57424;59085;69779
Porto;PI;267;320;466;449;690;727;1064;1140;1430;1369;1622;1817;1634;2186;2498;2633;3303
Porto Alegre do Piauí;PI;75;91;125;166;289;358;662;752;683;1019;712;841;823;926;1132;733;778
Prata do Piauí;PI;97;103;176;152;230;254;363;461;622;565;611;680;668;926;966;962;1130
Queimada Nova;PI;427;343;448;552;962;860;1113;1051;1465;1622;1907;2460;2795;3940;4677;5106;6485
Redenção do Gurguéia;PI;355;481;612;757;994;1220;1494;1535;1649;1838;2147;2231;2372;3261;3224;3967;4446
Regeneração;PI;741;778;784;1297;1803;1785;2468;2828;3724;4150;5255;5420;5522;6987;7797;7332;8735
Riacho Frio;PI;100;118;178;159;317;428;644;566;674;652;813;835;754;1063;1417;1433;2140
Ribeira do Piauí;PI;90;106;160;176;258;327;432;488;547;605;529;600;840;1403;13669;11834;5565
Ribeiro Gonçalves;PI;360;483;869;727;2129;2603;7447;6466;8074;9707;13085;13492;16456;17745;16760;22677;23371
Rio Grande do Piauí;PI;353;467;558;565;708;837;1202;1158;1344;1529;1379;1308;1407;2088;1968;2024;2769
Santa Cruz do Piauí;PI;204;208;358;495;725;738;810;946;1167;1356;1646;2139;2005;2190;2587;2834;3022
Santa Cruz dos Milagres;PI;104;118;179;189;296;369;395;506;654;705;789;920;948;1119;1382;1280;1677
Santa Filomena;PI;222;236;432;479;615;1622;4692;4370;5551;4937;6956;8050;11600;18358;11139;14780;26190
Santa Luz;PI;148;164;216;211;237;371;491;677;820;926;1106;1308;1319;1575;2074;1853;2204
Santana do Piauí;PI;100;97;175;182;267;328;440;461;615;649;673;647;650;1013;1078;1221;2025
Santa Rosa do Piauí;PI;170;176;306;290;415;343;558;617;719;721;1093;1112;1061;1501;1846;1941;1826
Santo Antônio de Lisboa;PI;192;363;635;1112;1671;1164;1711;2036;3375;3422;3653;4898;3847;4103;4547;5537;6489
Santo Antônio dos Milagres;PI;61;78;88;99;146;125;137;163;195;783;210;217;201;267;266;277;354
Santo Inácio do Piauí;PI;124;124;177;211;288;352;457;464;592;667;685;793;750;880;1149;1067;1401
São Braz do Piauí;PI;107;116;153;246;416;370;413;575;586;658;633;644;615;796;848;822;1117
São Félix do Piauí;PI;171;166;253;258;375;416;443;441;534;541;619;621;682;849;1226;1060;1288
São Francisco de Assis do Piauí;PI;78;121;169;236;253;301;512;506;678;656;930;1159;1445;2314;2515;1753;2132
São Francisco do Piauí;PI;153;148;245;210;376;365;429;656;892;980;1076;1462;1334;1646;1851;1735;2142
São Gonçalo do Gurguéia;PI;96;112;236;209;238;265;476;456;543;519;563;774;783;1007;863;1363;1538
São Gonçalo do Piauí;PI;174;192;258;330;407;425;643;643;790;851;974;822;907;1072;1324;1530;1929
São João da Canabrava;PI;151;164;240;311;719;451;502;589;660;768;824;794;789;1117;1231;1376;1654
São João da Fronteira;PI;260;383;406;452;604;825;806;800;1282;1207;1436;1461;1548;1646;1473;2414;2784
São João da Serra;PI;253;316;282;399;620;736;1101;870;1202;1193;1241;1232;1347;1676;2004;2036;2166
São João da Varjota;PI;91;101;136;149;259;281;385;394;492;576;523;536;752;1017;1146;1103;1148
São João do Arraial;PI;118;148;196;212;298;389;397;612;730;732;914;1002;967;1289;1446;1520;2056
São João do Piauí;PI;2026;2008;4330;4790;7918;6118;8119;7036;8312;8155;11554;12199;12597;13660;16892;20451;21838
São José do Divino;PI;150;169;266;260;474;515;689;770;968;1052;1376;1589;1622;1787;2194;2323;2589
