name_muni;abbrev_state;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Urupá;RO;2686;4348;5286;5470;5077;5407;6200;5988;7444;8134;6252;6089;6384;7502;7149;7203;8432
Vale do Anari;RO;1175;1893;2593;3248;3352;3961;4540;3700;4604;4518;4325;3354;3265;4237;4514;4467;5146
Vale do Paraíso;RO;1853;3052;3029;3433;3924;4320;4566;3721;4745;4649;4338;3933;3852;4722;4613;4496;5127
Acrelândia;AC;1540;2053;2480;3128;3730;2784;2826;2663;3211;5370;6157;13363;5163;5570;8891;10679;12178
Assis Brasil;AC;256;314;417;705;869;937;898;789;1214;1138;1077;1046;1192;1623;1931;2802;2983
Brasiléia;AC;2792;3719;4242;4856;6676;5923;7253;10261;14738;14386;20389;23170;15986;23569;27842;28437;34912
Bujari;AC;390;552;505;650;870;1070;964;867;1269;1266;1498;1414;1677;2550;2369;2469;2722
Capixaba;AC;1873;2589;2730;2044;4355;2672;1838;2954;4159;5033;4389;7441;2087;4601;5592;4800;6470
Cruzeiro do Sul;AC;15351;18360;20349;25330;30714;37202;40936;47409;65449;52797;67862;65829;98302;70890;101148;127526;151112
Epitaciolândia;AC;3049;4195;5078;6451;6690;6984;7621;8835;10424;11544;15996;27568;21341;24038;57022;72057;85417
Feijó;AC;1208;1332;1356;1651;2095;2280;2160;5001;5677;2874;3610;5936;6645;8738;10090;12221;14390
Jordão;AC;191;219;192;319;533;447;458;544;660;661;793;736;1243;1342;1278;1484;1395
Mâncio Lima;AC;365;504;481;591;786;888;869;1021;1347;1417;2945;3556;3785;3500;5955;4006;4471
Manoel Urbano;AC;269;363;375;406;536;531;1865;3060;2828;2582;2109;1338;1944;7239;4500;5681;6379
Marechal Thaumaturgo;AC;415;441;426;545;693;797;894;991;1261;1013;1499;1618;1811;2164;2447;3664;3377
Plácido de Castro;AC;916;1182;1192;1418;1508;1767;1698;1634;2157;2314;4192;8473;5735;8428;10593;8715;10095
Porto Walter;AC;197;281;195;268;393;434;499;506;814;628;923;1037;1666;1894;1737;2773;2758
Rio Branco;AC;190125;226231;273919;327026;386801;419052;465616;514608;632511;646090;805444;777446;894464;954511;954015;1072156;1277997
Rodrigues Alves;AC;349;436;424;554;736;851;910;977;1659;1389;1504;1763;2099;2439;2391;2567;2655
Santa Rosa do Purus;AC;161;220;275;363;419;530;621;701;1048;654;675;661;852;1057;1195;1595;1621
Senador Guiomard;AC;3628;5044;5069;5210;6481;7186;7058;8717;9736;11184;17110;20261;14868;20662;19437;22492;26975
Sena Madureira;AC;2474;3072;2984;3514;4166;4480;4550;4100;7322;8624;12477;11386;10697;12220;12228;17700;20855
Tarauacá;AC;1741;2102;2397;2844;3518;4493;4413;4170;5707;8639;11445;10407;11837;13055;13335;19504;24212
Xapuri;AC;699;995;1027;1013;1500;1523;1222;1397;2034;1874;3752;2765;3375;4603;4925;7650;9092
Porto Acre;AC;482;647;596;681;1453;1703;1937;1821;2576;2668;2698;3193;2942;4981;5318;6301;7000
Alvarães;AM;753;699;700;773;915;1079;1089;786;907;1583;1364;781;1363;1590;1885;1997;2668
Amaturá;AM;345;369;371;387;494;549;606;522;655;857;978;608;943;1252;1376;1255;1288
Anamã;AM;417;457;528;639;1792;4002;11449;4819;2140;2731;1225;699;1006;1980;2030;2247;1922
Anori;AM;583;546;601;653;832;979;1512;1324;1149;1971;1502;1166;1462;1935;2321;2744;4396
Apuí;AM;1069;1104;1368;1700;2445;2500;3474;2450;-932;-894;-631;-4896;5447;1864;4112;6134;4318
Atalaia do Norte;AM;435;473;415;778;786;682;873;832;1268;1063;1142;629;1258;1806;2065;2549;2681
Autazes;AM;1632;1901;2361;2522;3069;2605;2380;2632;3865;3984;4107;4340;5764;6253;7199;9489;11916
Barcelos;AM;565;708;781;1072;1289;1482;1502;1177;1466;2264;1817;1209;2197;2486;3325;3994;3919
Barreirinha;AM;966;1002;1050;1062;1812;2338;2636;2911;3547;3462;3516;3033;3440;3967;5718;4734;6561
Benjamin Constant;AM;2042;2290;3041;2805;3204;2710;2697;2775;3182;3292;3646;2104;5461;6007;7720;9128;10230
Beruri;AM;596;649;622;714;727;954;928;1060;1469;1607;1557;1168;1851;2126;2685;3006;3206
Boa Vista do Ramos;AM;416;466;499;608;671;565;1456;1019;942;984;996;1238;1416;1728;1915;3208;3116
Boca do Acre;AM;2367;4254;6477;7972;6818;4541;4314;4126;4627;4781;5988;4812;9024;10041;15044;17124;22411
Borba;AM;1775;1434;1558;1672;2874;2202;2453;2292;3575;3619;4222;2529;5513;6336;8352;9636;9437
Caapiranga;AM;540;654;911;847;1868;3680;3461;2156;4322;1215;1281;1219;1388;1807;2156;1873;2438
Canutama;AM;326;344;402;518;695;1128;991;813;1125;1797;1680;743;1422;1978;2468;2519;3316
Carauari;AM;2960;2904;2904;3124;3660;2944;3117;2515;3058;4019;5344;5143;7605;6072;7904;8218;12263
Careiro;AM;1784;1839;2272;1799;2218;2210;2395;2587;3484;3010;3382;2535;4569;6273;8625;8763;11977
Careiro da Várzea;AM;3692;4168;1751;4477;3270;3990;3331;2170;3437;2734;2861;2364;2594;3753;4091;3260;3678
Coari;AM;15060;23218;34189;32807;43153;53539;84585;87928;93045;123271;128963;151198;115170;95180;78177;54386;77102
Codajás;AM;1055;1126;1154;1267;3465;7215;17184;7384;7542;10930;10619;1806;2959;6665;6792;4708;5676
Eirunepé;AM;1969;1751;2012;3117;3998;2397;2839;2359;2302;2750;2668;1364;4247;5385;6472;8124;8377
Envira;AM;689;799;905;1169;1456;1152;1372;1289;604;490;992;97;-21;1549;1463;2248;2191
Fonte Boa;AM;1330;1387;1333;1495;1546;1822;1879;1507;1597;1913;2535;2025;3538;3659;3703;5286;6561
Guajará;AM;676;601;649;690;914;1285;1400;1140;668;683;1652;789;988;1436;2223;3011;3693
Humaitá;AM;3291;3540;4507;6160;7003;6634;6322;8874;8908;12762;15827;20331;17859;21646;26081;33685;38037
Ipixuna;AM;536;467;495;551;879;836;1130;957;874;1538;1681;2199;1685;1740;1971;2101;2470
Iranduba;AM;3739;3967;3937;4401;6585;10178;10637;14369;17265;15318;15119;14066;19438;29846;30880;35104;30001
Itacoatiara;AM;12174;14702;38442;38285;43260;44551;46601;47862;63062;71755;90677;88373;106360;134097;192034;239831;107905
Itamarati;AM;408;432;450;498;595;612;617;484;885;861;1000;504;1318;1887;1764;2511;2848
Itapiranga;AM;4411;6081;8592;12531;7264;11177;6295;2950;4404;5854;3852;5744;1944;2120;2664;2626;3569
Japurá;AM;324;405;366;392;539;554;639;656;871;1005;1069;923;1227;1571;1645;1452;1352
Juruá;AM;423;588;541;537;758;655;736;411;1028;1380;1813;1909;2393;2173;2134;2639;2386
Jutaí;AM;1266;1423;1525;1353;1611;1668;1596;1177;1341;1352;1545;1001;1786;3572;3851;5207;5272
Lábrea;AM;1981;2138;2389;2928;4020;4364;4893;3724;3474;2566;4016;2086;6079;7583;13053;15350;17457
Manacapuru;AM;11991;14072;16202;13752;20066;22109;22454;20905;32620;23561;23730;22548;23415;38001;35362;37320;44595
Manaquiri;AM;638;727;798;1018;1208;1355;1490;1458;2073;2417;2305;1860;2368;2945;3595;5518;5887
Manaus;AM;3742622;4250233;5643890;5680860;6388544;7247997;9052540;8220351;10092774;11155161;12149826;13753940;14232890;13258158;12405653;13926766;14962349
Manicoré;AM;2215;2478;2636;4248;4399;4076;4777;3920;4927;5436;5744;2631;6607;10621;12285;14696;18893
Maraã;AM;506;723;867;1179;1026;1176;1452;1159;1349;1430;1487;1114;1667;2245;1893;1991;2273
Maués;AM;2268;2936;3922;4722;5472;5891;6617;5402;7575;6666;6922;4492;8558;10448;14535;17703;24869
Nhamundá;AM;813;845;923;1223;1421;1790;1808;1702;1417;2495;3878;2966;2371;2752;3630;3749;4842
Nova Olinda do Norte;AM;974;874;889;1034;1278;2195;2581;2573;2835;2987;3044;2747;4645;4959;5814;6579;7673
